name,log10_adj_p_val,median_diff
A1BG (1),0.268867675413141,-0.0201935396787033
A1CF (29974),0.501833066546623,0.0174266925338209
A2M (2),0.493768936533728,0.0151081990326502
A2ML1 (144568),1.12889594089157,0.0247586365019964
A3GALT2 (127550),0.683246909304159,0.0600234241820649
A4GALT (53947),0.0373797716275276,0.0105039006998611
A4GNT (51146),0.0953937908444081,0.000188415021927128
AAAS (8086),0.308670778540049,-0.0332305972702482
AACS (65985),0.877903555010438,-0.0170618886941762
AADAC (13),1.25940153814935,-0.0407570931830814
AADACL2 (344752),0.0803024048536845,-0.0199254771573913
AADACL3 (126767),1.24725458324396,0.0525639767875971
AADACL4 (343066),0.100512668842245,-0.00817392433707013
AADAT (51166),0.243299986957642,-0.00938772339795768
AAGAB (79719),0.0704610137974736,0.0069850629504907
AAK1 (22848),0.748916130197204,0.055052903190452
AAMDC (28971),0.400994192497394,0.00511305529101717
AAMP (14),0.268867675413141,-0.0047927466696096
AANAT (15),0.611399719011508,-0.0205341439342308
AAR2 (25980),0.711068841968553,0.0291131636650703
AARD (441376),0.237027935590067,-0.0113382701834576
AARS1 (16),0.951187181865839,0.0495351672298028
AARS2 (57505),0.423500794409861,0.0922140069410019
AARSD1 (80755),0.629043210074264,-0.00602883729496814
AASDH (132949),0.501833066546623,0.0221586642432449
AASDHPPT (60496),0.268867675413141,0.025121666711842
AASS (10157),0.0238419451085436,0.0194646502718737
AATF (26574),0.343186529141172,-0.0013172146332705
AATK (9625),0.243299986957642,-0.00675604787519617
ABAT (18),0.637944332313759,0.0125677501724007
ABCA1 (19),0.551305748378347,-0.00244649354669087
ABCA10 (10349),0.116136627000247,-0.00610070329486256
ABCA12 (26154),0.0903192206022334,-0.00379264429806559
ABCA13 (154664),0.847320073108838,0.0168664437539707
ABCA2 (20),0.0283123812356621,-0.00164671733572086
ABCA3 (21),0.0753598573988979,0.0173062988694424
ABCA4 (24),0.90898053913893,0.0455409987798896
ABCA5 (23461),0.378941176148255,-0.0342927031780895
ABCA6 (23460),0.218497509614725,-0.0102437779958937
ABCA7 (10347),0.200393045376885,0.0144216077812292
ABCA8 (10351),0.0150267681200754,-0.00358676855859191
ABCA9 (10350),0.110883940221831,0.0162706209836536
ABCB1 (5243),0.176910395541511,-0.0180875497449679
ABCB10 (23456),0.00637807485284589,0.00161869292663117
ABCB11 (8647),0.171156118232355,-0.020284819380921
ABCB4 (5244),0.18855834846487,0.0102657910001887
ABCB5 (340273),0.0106816948177973,0.0244706236913442
ABCB6 (10058),0.0373797716275276,-0.0200962304492151
ABCB7 (22),0.397815239656404,
ABCB8 (11194),1.19923340175159,-0.0378018135090823
ABCB9 (23457),0.711068841968553,-0.00649825245719628
ABCC1 (4363),0.0560251640081779,0.00113973056515654
ABCC10 (89845),0.400994192497394,0.0307487580235142
ABCC11 (85320),0.329232324701971,0.0204174356553597
ABCC12 (94160),0.0419770517517728,-0.00584185869197119
ABCC2 (1244),0.15417047541461,0.00897923157542648
ABCC3 (8714),0.275380070569236,-0.00970019766805376
ABCC4 (10257),0.165448129091045,0.0107030107100917
ABCC5 (10057),0.0852888087509258,-0.000394838057591628
ABCC6 (368),0.0607938223959176,0.0332746156168126
ABCC8 (6833),0.336184702641348,0.0285499143756436
ABCC9 (10060),0.551305748378347,-0.0129773177189578
ABCD1 (215),0.137276654866673,
ABCD2 (225),0.454219857683955,-0.0132907365340476
ABCD3 (5825),0.777867710752312,-0.0359569281375575
ABCD4 (5826),0.0903192206022334,0.00890311878684869
ABCE1 (6059),0.18855834846487,-0.0227982572312166
ABCF1 (23),0.126776828275001,0.0465169245082977
ABCF2 (10061),0.275380070569236,-0.0205231204170487
ABCF3 (55324),0.602657187240064,0.019113655462091
ABCG1 (9619),0.00211573925945115,0.0288815111110612
ABCG2 (9429),0.110883940221831,0.0166116954726818
ABCG4 (64137),0.268867675413141,-0.02814878263121
ABCG5 (64240),0.629043210074264,0.0193911062348805
ABCG8 (64241),0.585330138736327,-0.0176308636376831
ABHD1 (84696),0.431104263015858,0.00730741105662375
ABHD10 (55347),0.105676002891475,0.00830787239535225
ABHD11 (83451),0.431104263015858,0.020812832880804
ABHD12 (26090),0.534607036303644,-0.0326172196451393
ABHD12B (145447),0.0283123812356621,0.00346342418453145
ABHD13 (84945),0.542930341154838,0.0243195413022006
ABHD14A (25864),1.03825757803924,-0.0240954037386841
ABHD14B (84836),0.0373797716275276,0.0136989591714664
ABHD15 (116236),0.262403588987257,-0.0388268958276482
ABHD16A (7920),0.121434208334171,0.0136353754961389
ABHD16B (140701),0.0373797716275276,0.0201985164497713
ABHD17A (81926),0.797439421523702,0.0753685490450214
ABHD17B (51104),0.350237913247491,0.00757016401807967
ABHD17C (58489),0.301915086681177,0.0252821611350178
ABHD18 (80167),0.0328249355827856,-0.00499534447301751
ABHD2 (11057),0.593967354875991,0.025474846189854
ABHD3 (171586),0.0903192206022334,0.0122642725691949
ABHD4 (63874),0.182711094721761,0.00634178181962777
ABHD5 (51099),0.350237913247491,0.028754150376103
ABHD6 (57406),0.0283123812356621,-0.015895680424526
ABHD8 (79575),0.281940892561296,0.00159579699577732
ABI1 (10006),0.243299986957642,0.00674543045665281
ABI2 (10152),0.159786293398344,-0.00591796571932118
ABI3 (51225),2.20472030317615,0.0687377069488531
ABI3BP (25890),0.171156118232355,0.0176636258137603
ABITRAM (54942),0.230803588273619,0.000197792339065153
ABL1 (25),0.0753598573988979,-0.00281189264902479
ABL2 (27),1.02717926031411,0.0323695378168261
