name,log10_adj_p_val,median_diff
MMP26 (56547),3.51720877590016,0.0624601648438192
TMEM202 (338949),2.89532246332045,0.0795713410005201
STX10 (8677),2.87688733157101,0.0878895425721709
MAL (4118),2.78561574593576,0.0360079473049157
ST7 (7982),2.78561574593576,0.0577740609079127
PLK1 (5347),2.7675420879928,0.1563704657198
CCSER2 (54462),2.73157525075196,0.0369479914895328
C17orf78 (284099),2.71368202558291,0.0598795812324771
CHAF1A (10036),2.69584889852318,0.150913762985518
ITCH (83737),2.66036284514564,0.0615992516462683
ARHGAP21 (57584),2.62511690173842,0.101902801683638
LOXL3 (84695),2.62511690173842,0.0436627460712354
LSM14A (26065),2.5036441733529,0.114247827865871
HELQ (113510),2.46947631204749,0.0810776682759457
ZSWIM4 (65249),2.45248202693004,0.0635424580433617
ZNF30 (90075),2.43554747106717,0.0627386247562765
ZBTB14 (7541),2.40185744264569,0.106035691871632
CA14 (23632),2.3684060159157,0.0465473303710257
ZNF540 (163255),2.3684060159157,0.0586350510387166
ACTL9 (284382),2.30221810822383,0.0371238417022361
MMD2 (221938),2.28581991904237,0.0363940346926645
EED (8726),2.26948118952088,0.159915307184588
SNW1 (22938),2.26948118952088,0.214674804621903
TAB1 (10454),2.26948118952088,0.0487079812893827
ATP5PB (515),2.25320189157577,0.119714360668344
DDIT4L (115265),2.25320189157577,0.0747779050292674
SCAMP2 (10066),2.22082147701999,0.0342430178405243
ABI3 (51225),2.20472030317615,0.0687377069488531
DDX58 (23586),2.20472030317615,0.034886808201485
SLC25A36 (55186),2.20472030317615,0.0739428651092895
PDCD4 (27250),2.18867844643851,0.0527444607736414
CCL27 (10850),2.17269587764599,0.0402153367641701
PLA2G4B (100137049),2.17269587764599,0.0368843318354704
MKRN2 (23609),2.14090848614362,0.0611330592869278
CERS4 (79603),2.12510360399726,0.0406635006789489
ADGRE2 (30817),2.10935789091897,0.0908735471374766
CD53 (963),2.10935789091897,0.0526029634886286
PLEKHH2 (130271),2.10935789091897,0.0430876450124918
RSPH1 (89765),2.10935789091897,0.0644405887977765
UQCC2 (84300),2.10935789091897,0.122941004280682
SNAPC2 (6618),2.09367131662127,0.130428518105532
STON1 (11037),2.07804385058532,0.0433086463859722
CERS6 (253782),2.06247546205884,0.0574230023295426
GUCD1 (83606),2.06247546205884,0.0433900608418559
DYNC2LI1 (51626),2.04696612005403,0.0510341367473909
ATG13 (9776),2.03151579334544,0.0797871231038461
DIO3 (1735),2.03151579334544,0.0530251414370478
C19orf84 (147646),2.01612445046785,0.0498764260387437
SLC27A5 (10998),2.01612445046785,0.0421051901559724
CKAP2 (26586),2.00079205971415,0.0463225930029574
FOXO1 (2308),2.00079205971415,0.0476196676592584
CEP89 (84902),1.98551858913309,0.0454731274827873
THRAP3 (9967),1.98551858913309,0.135817770677063
MED9 (55090),1.97030400652717,0.163829563744794
SIGLEC10 (89790),1.97030400652717,0.0606180473132251
UBL5 (59286),1.97030400652717,0.0910956286460589
CPLANE1 (65250),1.95514827945038,0.0517601489892874
ETFB (2109),1.94005137520596,0.042428071992154
RASGEF1A (221002),1.92501326084419,0.0340292399848045
CDH16 (1014),1.91003390316005,0.0609442118659011
FPR1 (2357),1.91003390316005,0.0569942988333574
PLCG2 (5336),1.89511326869098,0.0726401320341164
SLC16A9 (220963),1.89511326869098,0.0592517791496879
SLC6A4 (6532),1.88025132371453,0.0774822608518318
TAF15 (8148),1.86544803424601,0.058764481327577
FYB1 (2533),1.85070336603615,0.0387282048529653
SRRM5 (100170229),1.85070336603615,0.044152514644872
TANC1 (85461),1.85070336603615,0.0458974842108172
TRPV1 (7442),1.85070336603615,0.0720942458111297
PREPL (9581),1.8360172845687,0.054715039611372
ATP5PO (539),1.82138975505801,0.168580517911468
PEAK1 (79834),1.82138975505801,0.0199176153317074
RBM12B (389677),1.82138975505801,0.0610444384273552
KRTAP19-5 (337972),1.80682074244663,0.0469336618642967
MTA3 (57504),1.80682074244663,0.0711904226763797
ZNF347 (84671),1.80682074244663,0.0553258163958648
COA5 (493753),1.79231021140282,0.131566054497727
FOXJ3 (22887),1.79231021140282,0.0404980822218973
PI4KA (5297),1.79231021140282,0.168240005418519
PRPF18 (8559),1.79231021140282,0.186518156211858
CALCB (797),1.77785812631812,0.0409375217052376
STK32C (282974),1.76346445130478,0.0405452154060942
AP5Z1 (9907),1.7491291501933,0.0598723530134027
LCA5 (167691),1.7491291501933,0.0343546841246253
SRSF3 (6428),1.7491291501933,0.0965098201631287
ZNF710 (374655),1.7491291501933,0.0473666734927209
MAD1L1 (8379),1.73485218652985,0.0575078099638112
ACMSD (130013),1.72063352357373,0.0640678858038778
BCL11A (53335),1.72063352357373,0.0482233654733041
HIC2 (23119),1.72063352357373,0.0666847976162563
RAB1A (5861),1.72063352357373,0.105637620815131
TYK2 (7297),1.72063352357373,0.0434368690125756
ZDHHC16 (84287),1.72063352357373,0.0518383959178628
CC2D1A (54862),1.70647312429473,0.0866583281370932
DRGX (644168),1.70647312429473,0.0466571119618418
KRT27 (342574),1.70647312429473,0.0411518430181919
TATDN1 (83940),1.70647312429473,0.0338818528906048
ANGPTL8 (55908),1.69237095137053,0.0451112729738973
PSIP1 (11168),1.69237095137053,0.0381230455390998
VPREB3 (29802),1.69237095137053,0.0624494268804373
INSYN1 (388135),1.67832696718409,0.0386430736300244
AMBRA1 (55626),1.66434113382093,0.127203128611233
AP1M2 (10053),1.66434113382093,0.0505464357587081
PALM3 (342979),1.66434113382093,0.0653739912025765
WTAP (9589),1.66434113382093,0.138947825638516
