name,log10_adj_p_val,median_diff
CEP295NL (100653515),3.53764516170981,-0.060154774964532
DLL1 (28514),3.12125527172569,-0.084384352600062
KITLG (4254),2.9884033905728,-0.0697984943639469
DOCK2 (1794),2.96966643149081,-0.0442746371162688
METAP2 (10988),2.87688733157101,-0.28181536938675
IPO8 (10526),2.67807584621876,-0.0845279715541247
TAS1R1 (80835),2.66036284514564,-0.0313478458691101
EPS8 (2059),2.64270987160835,-0.0597510177212381
FOXJ1 (2302),2.57269777282159,-0.0522569663123396
GAMT (2593),2.57269777282159,-0.0640864666837873
JAK2 (3717),2.53805125970258,-0.0498660013350878
SLC23A1 (9963),2.43554747106717,-0.0497739758005939
ACKR3 (57007),2.41867261839246,-0.0691669409084125
MED13L (23389),2.41867261839246,-0.0834250935109711
ZAR1 (326340),2.40185744264569,-0.0925509803357094
AK6 (102157402),2.3851019173711,-0.206666358580607
ERAP2 (64167),2.3851019173711,-0.0354414150848895
C8orf76 (84933),2.3684060159157,-0.0507005516093114
CHMP3 (51652),2.3684060159157,-0.279586053278875
EREG (2069),2.35176971142747,-0.0421473358384128
SVEP1 (79987),2.33519297685367,-0.043623169292361
AKR1C2 (1646),2.30221810822383,-0.039159972940747
SLC30A10 (55532),2.25320189157577,-0.0519084253352406
RPP25L (138716),2.23698199691175,-0.116222166292548
RSPH3 (83861),2.23698199691175,-0.0532804441812318
FAM193B (54540),2.22082147701999,-0.062265536838357
GYPA (2993),2.22082147701999,-0.0526279861124308
PTPRG (5793),2.15677256741624,-0.0736504858913223
LDHD (197257),2.14090848614362,-0.058579506132296
KRTAP1-5 (83895),2.12510360399726,-0.0553191512906829
DEFA4 (1669),2.10935789091897,-0.0666656121790038
IKBIP (121457),2.10935789091897,-0.0805021930053585
TCTN1 (79600),2.10935789091897,-0.0608019608834083
GABRB2 (2561),2.09367131662127,-0.0595753594022837
PDE7B (27115),2.09367131662127,-0.0343527101634989
RCOR3 (55758),2.07804385058532,-0.0639839138651202
TAS2R42 (353164),2.06247546205884,-0.0527153069935569
SCD (6319),2.04696612005403,-0.345255460661962
TKT (7086),2.04696612005403,-0.155383885704104
WDR7 (23335),2.04696612005403,-0.1921225524959
PALLD (23022),2.03151579334544,-0.0694959818432747
TAF1D (79101),2.03151579334544,-0.143730658314309
TBX5 (6910),2.03151579334544,-0.0541748254771072
TNFSF4 (7292),2.03151579334544,-0.0575395019227307
AFDN (4301),2.01612445046785,-0.0641152909584138
MAGEF1 (64110),2.01612445046785,-0.0444249058481147
MYC (4609),2.01612445046785,-0.337113386956725
PPP2R1A (5518),2.01612445046785,-0.336067200217278
TRAF3IP3 (80342),2.01612445046785,-0.0539434830126839
ANKHD1 (54882),2.00079205971415,-0.0553027412800653
KRTAP5-2 (440021),2.00079205971415,-0.0295521931015061
ODR4 (54953),2.00079205971415,-0.16699208714903
GALNT16 (57452),1.98551858913309,-0.0353448542592388
KIAA1958 (158405),1.98551858913309,-0.0333556473192365
